"alert__week","alert__year","alert__count","confidence__cat"
47,2017,143,"h"
47,2017,583,"l"
47,2017,3747,"n"
46,2017,339,"h"
46,2017,683,"l"
46,2017,5750,"n"
45,2017,902,"h"
45,2017,3261,"l"
45,2017,15767,"n"
44,2017,1094,"h"
44,2017,2398,"l"
44,2017,9823,"n"
43,2017,1752,"h"
43,2017,3458,"l"
43,2017,15730,"n"
42,2017,1320,"h"
42,2017,5582,"l"
42,2017,16232,"n"
41,2017,1080,"h"
41,2017,2262,"l"
41,2017,10317,"n"
40,2017,1246,"h"
40,2017,2840,"l"
40,2017,11329,"n"
39,2017,590,"h"
39,2017,2246,"l"
39,2017,8116,"n"
38,2017,432,"h"
38,2017,2407,"l"
38,2017,7677,"n"
37,2017,1772,"h"
37,2017,4025,"l"
37,2017,15473,"n"
36,2017,1040,"h"
36,2017,3663,"l"
36,2017,12204,"n"
35,2017,681,"h"
35,2017,1755,"l"
35,2017,8057,"n"
34,2017,403,"h"
34,2017,1453,"l"
34,2017,6520,"n"
33,2017,299,"h"
33,2017,958,"l"
33,2017,5492,"n"
32,2017,409,"h"
32,2017,1922,"l"
32,2017,8581,"n"
31,2017,556,"h"
31,2017,1168,"l"
31,2017,7485,"n"
30,2017,270,"h"
30,2017,534,"l"
30,2017,4479,"n"
29,2017,420,"h"
29,2017,1990,"l"
29,2017,9792,"n"
28,2017,687,"h"
28,2017,1486,"l"
28,2017,9902,"n"
27,2017,382,"h"
27,2017,811,"l"
27,2017,7511,"n"
26,2017,360,"h"
26,2017,745,"l"
26,2017,6606,"n"
25,2017,147,"h"
25,2017,223,"l"
25,2017,4084,"n"
24,2017,275,"h"
24,2017,321,"l"
24,2017,3988,"n"
23,2017,279,"h"
23,2017,617,"l"
23,2017,5125,"n"
22,2017,125,"h"
22,2017,512,"l"
22,2017,4825,"n"
21,2017,255,"h"
21,2017,673,"l"
21,2017,5208,"n"
20,2017,91,"h"
20,2017,338,"l"
20,2017,3098,"n"
19,2017,173,"h"
19,2017,569,"l"
19,2017,3986,"n"
18,2017,119,"h"
18,2017,263,"l"
18,2017,2566,"n"
17,2017,51,"h"
17,2017,275,"l"
17,2017,1969,"n"
16,2017,30,"h"
16,2017,58,"l"
16,2017,774,"n"
15,2017,18,"h"
15,2017,76,"l"
15,2017,822,"n"
14,2017,15,"h"
14,2017,76,"l"
14,2017,576,"n"
13,2017,20,"l"
13,2017,218,"n"
12,2017,1,"h"
12,2017,16,"l"
12,2017,233,"n"
11,2017,2,"h"
11,2017,11,"l"
11,2017,103,"n"
10,2017,5,"l"
10,2017,92,"n"
9,2017,9,"h"
9,2017,26,"l"
9,2017,254,"n"
8,2017,1,"h"
8,2017,6,"l"
8,2017,116,"n"
7,2017,3,"h"
7,2017,15,"l"
7,2017,124,"n"
6,2017,15,"h"
6,2017,68,"l"
6,2017,307,"n"
5,2017,99,"h"
5,2017,94,"l"
5,2017,1047,"n"
4,2017,81,"h"
4,2017,288,"l"
4,2017,1636,"n"
3,2017,66,"h"
3,2017,232,"l"
3,2017,1333,"n"
2,2017,130,"h"
2,2017,57,"l"
2,2017,1415,"n"
1,2017,7,"h"
1,2017,150,"l"
1,2017,897,"n"
53,2016,24,"h"
53,2016,9,"l"
53,2016,315,"n"
52,2016,246,"h"
52,2016,285,"l"
52,2016,2600,"n"
51,2016,172,"h"
51,2016,230,"l"
51,2016,2441,"n"
50,2016,158,"h"
50,2016,744,"l"
50,2016,4562,"n"
49,2016,178,"h"
49,2016,1143,"l"
49,2016,5228,"n"
48,2016,212,"h"
48,2016,502,"l"
48,2016,3891,"n"
47,2016,626,"h"
47,2016,2800,"l"
47,2016,11491,"n"
46,2016,651,"h"
46,2016,1247,"l"
46,2016,8662,"n"
45,2016,938,"h"
45,2016,2571,"l"
45,2016,11463,"n"
44,2016,1277,"h"
44,2016,2045,"l"
44,2016,9929,"n"
43,2016,974,"h"
43,2016,4244,"l"
43,2016,13760,"n"
42,2016,1831,"h"
42,2016,3945,"l"
42,2016,19776,"n"
41,2016,1977,"h"
41,2016,3849,"l"
41,2016,17596,"n"
40,2016,1632,"h"
40,2016,3418,"l"
40,2016,15709,"n"
39,2016,1053,"h"
39,2016,2961,"l"
39,2016,13320,"n"
38,2016,1557,"h"
38,2016,2764,"l"
38,2016,13203,"n"
37,2016,853,"h"
37,2016,2816,"l"
37,2016,10541,"n"
36,2016,921,"h"
36,2016,3775,"l"
36,2016,12999,"n"
35,2016,1605,"h"
35,2016,2262,"l"
35,2016,14029,"n"
34,2016,928,"h"
34,2016,2108,"l"
34,2016,10758,"n"
33,2016,306,"h"
33,2016,2038,"l"
33,2016,7960,"n"
32,2016,608,"h"
32,2016,1151,"l"
32,2016,8036,"n"
31,2016,509,"h"
31,2016,1371,"l"
31,2016,9185,"n"
30,2016,551,"h"
30,2016,1825,"l"
30,2016,10444,"n"
29,2016,277,"h"
29,2016,901,"l"
29,2016,6540,"n"
28,2016,467,"h"
28,2016,577,"l"
28,2016,7210,"n"
27,2016,332,"h"
27,2016,1013,"l"
27,2016,8063,"n"
26,2016,379,"h"
26,2016,1002,"l"
26,2016,8023,"n"
25,2016,403,"h"
25,2016,651,"l"
25,2016,7018,"n"
24,2016,38,"h"
24,2016,170,"l"
24,2016,2504,"n"
23,2016,285,"h"
23,2016,651,"l"
23,2016,7547,"n"
22,2016,224,"h"
22,2016,87,"l"
22,2016,2981,"n"
21,2016,228,"h"
21,2016,480,"l"
21,2016,5738,"n"
20,2016,358,"h"
20,2016,1137,"l"
20,2016,9109,"n"
19,2016,485,"h"
19,2016,889,"l"
19,2016,8532,"n"
18,2016,237,"h"
18,2016,554,"l"
18,2016,5822,"n"
17,2016,177,"h"
17,2016,1459,"l"
17,2016,6475,"n"
16,2016,251,"h"
16,2016,681,"l"
16,2016,4072,"n"
15,2016,32,"h"
15,2016,230,"l"
15,2016,1743,"n"
14,2016,19,"h"
14,2016,111,"l"
14,2016,994,"n"
13,2016,6,"h"
13,2016,20,"l"
13,2016,300,"n"
12,2016,1,"l"
12,2016,56,"n"
11,2016,10,"l"
11,2016,165,"n"
10,2016,3,"h"
10,2016,18,"l"
10,2016,214,"n"
9,2016,5,"l"
9,2016,88,"n"
8,2016,3,"h"
8,2016,12,"l"
8,2016,138,"n"
7,2016,3,"h"
7,2016,30,"l"
7,2016,214,"n"
6,2016,3,"h"
6,2016,16,"l"
6,2016,196,"n"
5,2016,1,"h"
5,2016,45,"l"
5,2016,152,"n"
4,2016,5,"h"
4,2016,109,"l"
4,2016,456,"n"
3,2016,15,"h"
3,2016,34,"l"
3,2016,267,"n"
2,2016,1,"h"
2,2016,26,"l"
2,2016,416,"n"
1,2016,14,"h"
1,2016,64,"l"
1,2016,959,"n"
53,2015,1,"h"
53,2015,17,"l"
53,2015,128,"n"
52,2015,10,"h"
52,2015,68,"l"
52,2015,601,"n"
51,2015,132,"h"
51,2015,408,"l"
51,2015,3275,"n"
50,2015,310,"h"
50,2015,667,"l"
50,2015,4260,"n"
49,2015,205,"h"
49,2015,1343,"l"
49,2015,6323,"n"
48,2015,300,"h"
48,2015,955,"l"
48,2015,5829,"n"
47,2015,1136,"h"
47,2015,2453,"l"
47,2015,11918,"n"
46,2015,3459,"h"
46,2015,6766,"l"
46,2015,28383,"n"
45,2015,178,"h"
45,2015,2284,"l"
45,2015,6487,"n"
44,2015,175,"h"
44,2015,876,"l"
44,2015,4213,"n"
43,2015,1567,"h"
43,2015,2354,"l"
43,2015,11892,"n"
42,2015,1167,"h"
42,2015,3925,"l"
42,2015,14188,"n"
41,2015,1670,"h"
41,2015,4653,"l"
41,2015,17590,"n"
40,2015,1106,"h"
40,2015,1993,"l"
40,2015,11001,"n"
39,2015,702,"h"
39,2015,2136,"l"
39,2015,8691,"n"
38,2015,912,"h"
38,2015,3613,"l"
38,2015,13037,"n"
37,2015,756,"h"
37,2015,1878,"l"
37,2015,8962,"n"
36,2015,597,"h"
36,2015,2292,"l"
36,2015,9156,"n"
35,2015,492,"h"
35,2015,1664,"l"
35,2015,7554,"n"
34,2015,583,"h"
34,2015,1517,"l"
34,2015,8190,"n"
33,2015,688,"h"
33,2015,1394,"l"
33,2015,8140,"n"
32,2015,501,"h"
32,2015,1367,"l"
32,2015,7578,"n"
31,2015,452,"h"
31,2015,908,"l"
31,2015,6939,"n"
30,2015,668,"h"
30,2015,808,"l"
30,2015,7263,"n"
29,2015,301,"h"
29,2015,1214,"l"
29,2015,7606,"n"
28,2015,260,"h"
28,2015,705,"l"
28,2015,5643,"n"
27,2015,426,"h"
27,2015,275,"l"
27,2015,4404,"n"
26,2015,182,"h"
26,2015,492,"l"
26,2015,4656,"n"
25,2015,188,"h"
25,2015,703,"l"
25,2015,5563,"n"
24,2015,190,"h"
24,2015,184,"l"
24,2015,2694,"n"
23,2015,161,"h"
23,2015,154,"l"
23,2015,2720,"n"
22,2015,178,"h"
22,2015,518,"l"
22,2015,4463,"n"
21,2015,129,"h"
21,2015,437,"l"
21,2015,3692,"n"
20,2015,98,"h"
20,2015,294,"l"
20,2015,2334,"n"
19,2015,85,"h"
19,2015,254,"l"
19,2015,2075,"n"
18,2015,60,"h"
18,2015,117,"l"
18,2015,1427,"n"
17,2015,54,"h"
17,2015,115,"l"
17,2015,1460,"n"
16,2015,13,"h"
16,2015,85,"l"
16,2015,766,"n"
15,2015,15,"h"
15,2015,118,"l"
15,2015,909,"n"
14,2015,21,"h"
14,2015,44,"l"
14,2015,414,"n"
13,2015,5,"h"
13,2015,41,"l"
13,2015,315,"n"
12,2015,4,"h"
12,2015,10,"l"
12,2015,253,"n"
11,2015,1,"l"
11,2015,26,"n"
10,2015,5,"l"
10,2015,25,"n"
9,2015,2,"l"
9,2015,39,"n"
8,2015,1,"l"
8,2015,22,"n"
7,2015,1,"h"
7,2015,25,"n"
6,2015,42,"n"
5,2015,4,"h"
5,2015,52,"l"
5,2015,285,"n"
4,2015,23,"h"
4,2015,41,"l"
4,2015,241,"n"
3,2015,2,"h"
3,2015,7,"l"
3,2015,344,"n"
2,2015,5,"h"
2,2015,10,"l"
2,2015,223,"n"
1,2015,5,"l"
1,2015,120,"n"
52,2014,41,"h"
52,2014,246,"l"
52,2014,2018,"n"
51,2014,64,"h"
51,2014,254,"l"
51,2014,2654,"n"
50,2014,155,"h"
50,2014,513,"l"
50,2014,3319,"n"
49,2014,570,"h"
49,2014,1392,"l"
49,2014,7210,"n"
48,2014,466,"h"
48,2014,1451,"l"
48,2014,5480,"n"
47,2014,863,"h"
47,2014,903,"l"
47,2014,8544,"n"
46,2014,869,"h"
46,2014,3151,"l"
46,2014,13104,"n"
45,2014,846,"h"
45,2014,2700,"l"
45,2014,13785,"n"
44,2014,1962,"h"
44,2014,3146,"l"
44,2014,13471,"n"
43,2014,924,"h"
43,2014,2981,"l"
43,2014,10836,"n"
42,2014,849,"h"
42,2014,3248,"l"
42,2014,13350,"n"
41,2014,2266,"h"
41,2014,4381,"l"
41,2014,16471,"n"
40,2014,1042,"h"
40,2014,1944,"l"
40,2014,9726,"n"
39,2014,305,"h"
39,2014,1930,"l"
39,2014,6988,"n"
38,2014,1184,"h"
38,2014,2953,"l"
38,2014,12911,"n"
37,2014,2367,"h"
37,2014,4057,"l"
37,2014,17017,"n"
36,2014,343,"h"
36,2014,2228,"l"
36,2014,7898,"n"
35,2014,440,"h"
35,2014,1807,"l"
35,2014,7691,"n"
34,2014,639,"h"
34,2014,1708,"l"
34,2014,8305,"n"
33,2014,396,"h"
33,2014,1239,"l"
33,2014,6608,"n"
32,2014,437,"h"
32,2014,997,"l"
32,2014,5686,"n"
31,2014,465,"h"
31,2014,948,"l"
31,2014,6472,"n"
30,2014,151,"h"
30,2014,275,"l"
30,2014,3228,"n"
29,2014,215,"h"
29,2014,397,"l"
29,2014,3546,"n"
28,2014,442,"h"
28,2014,299,"l"
28,2014,5248,"n"
27,2014,291,"h"
27,2014,685,"l"
27,2014,6121,"n"
26,2014,213,"h"
26,2014,902,"l"
26,2014,5813,"n"
25,2014,245,"h"
25,2014,224,"l"
25,2014,3396,"n"
24,2014,313,"h"
24,2014,508,"l"
24,2014,5554,"n"
23,2014,257,"h"
23,2014,818,"l"
23,2014,5958,"n"
22,2014,315,"h"
22,2014,628,"l"
22,2014,5948,"n"
21,2014,261,"h"
21,2014,291,"l"
21,2014,4150,"n"
20,2014,127,"h"
20,2014,683,"l"
20,2014,4935,"n"
19,2014,70,"h"
19,2014,295,"l"
19,2014,2538,"n"
18,2014,143,"h"
18,2014,411,"l"
18,2014,2997,"n"
17,2014,85,"h"
17,2014,295,"l"
17,2014,2146,"n"
16,2014,77,"h"
16,2014,301,"l"
16,2014,1910,"n"
15,2014,34,"h"
15,2014,170,"l"
15,2014,1351,"n"
14,2014,15,"h"
14,2014,206,"l"
14,2014,835,"n"
13,2014,31,"h"
13,2014,145,"l"
13,2014,677,"n"
12,2014,3,"h"
12,2014,20,"l"
12,2014,268,"n"
11,2014,8,"h"
11,2014,14,"l"
11,2014,318,"n"
10,2014,4,"h"
10,2014,15,"l"
10,2014,203,"n"
9,2014,7,"h"
9,2014,16,"l"
9,2014,83,"n"
8,2014,2,"h"
8,2014,6,"l"
8,2014,55,"n"
7,2014,19,"l"
7,2014,84,"n"
6,2014,9,"h"
6,2014,5,"l"
6,2014,183,"n"
5,2014,10,"l"
5,2014,316,"n"
4,2014,4,"l"
4,2014,111,"n"
3,2014,4,"h"
3,2014,1,"l"
3,2014,199,"n"
2,2014,27,"h"
2,2014,18,"l"
2,2014,838,"n"
1,2014,51,"h"
1,2014,58,"l"
1,2014,938,"n"
52,2013,109,"h"
52,2013,194,"l"
52,2013,1653,"n"
51,2013,172,"h"
51,2013,118,"l"
51,2013,2546,"n"
50,2013,78,"h"
50,2013,373,"l"
50,2013,3029,"n"
49,2013,116,"h"
49,2013,324,"l"
49,2013,2395,"n"
48,2013,186,"h"
48,2013,326,"l"
48,2013,2318,"n"
47,2013,1081,"h"
47,2013,2294,"l"
47,2013,13252,"n"
46,2013,691,"h"
46,2013,3539,"l"
46,2013,12023,"n"
45,2013,2540,"h"
45,2013,3170,"l"
45,2013,18367,"n"
44,2013,657,"h"
44,2013,2549,"l"
44,2013,10316,"n"
43,2013,1964,"h"
43,2013,5606,"l"
43,2013,21855,"n"
42,2013,1802,"h"
42,2013,2988,"l"
42,2013,15472,"n"
41,2013,1697,"h"
41,2013,3087,"l"
41,2013,12609,"n"
40,2013,382,"h"
40,2013,1862,"l"
40,2013,6459,"n"
39,2013,1718,"h"
39,2013,3854,"l"
39,2013,16422,"n"
38,2013,1787,"h"
38,2013,2801,"l"
38,2013,14077,"n"
37,2013,2013,"h"
37,2013,3960,"l"
37,2013,16944,"n"
36,2013,503,"h"
36,2013,1954,"l"
36,2013,8481,"n"
35,2013,1068,"h"
35,2013,2222,"l"
35,2013,11797,"n"
34,2013,724,"h"
34,2013,2470,"l"
34,2013,11025,"n"
33,2013,711,"h"
33,2013,2904,"l"
33,2013,12281,"n"
32,2013,602,"h"
32,2013,881,"l"
32,2013,6490,"n"
31,2013,602,"h"
31,2013,1354,"l"
31,2013,8705,"n"
30,2013,368,"h"
30,2013,1193,"l"
30,2013,6970,"n"
29,2013,356,"h"
29,2013,402,"l"
29,2013,5131,"n"
28,2013,315,"h"
28,2013,562,"l"
28,2013,5733,"n"
27,2013,332,"h"
27,2013,1413,"l"
27,2013,8496,"n"
26,2013,357,"h"
26,2013,652,"l"
26,2013,5826,"n"
25,2013,449,"h"
25,2013,642,"l"
25,2013,6501,"n"
24,2013,354,"h"
24,2013,716,"l"
24,2013,5988,"n"
23,2013,218,"h"
23,2013,1062,"l"
23,2013,6943,"n"
22,2013,440,"h"
22,2013,1124,"l"
22,2013,7108,"n"
21,2013,93,"h"
21,2013,479,"l"
21,2013,4038,"n"
20,2013,155,"h"
20,2013,343,"l"
20,2013,4013,"n"
19,2013,143,"h"
19,2013,463,"l"
19,2013,3338,"n"
18,2013,176,"h"
18,2013,427,"l"
18,2013,3599,"n"
17,2013,60,"h"
17,2013,725,"l"
17,2013,2994,"n"
16,2013,159,"h"
16,2013,721,"l"
16,2013,3087,"n"
15,2013,49,"h"
15,2013,265,"l"
15,2013,1860,"n"
14,2013,50,"h"
14,2013,310,"l"
14,2013,1815,"n"
13,2013,30,"h"
13,2013,93,"l"
13,2013,699,"n"
12,2013,1,"h"
12,2013,25,"l"
12,2013,224,"n"
11,2013,8,"h"
11,2013,29,"l"
11,2013,269,"n"
10,2013,10,"h"
10,2013,47,"l"
10,2013,331,"n"
9,2013,5,"h"
9,2013,36,"l"
9,2013,234,"n"
8,2013,6,"h"
8,2013,13,"l"
8,2013,205,"n"
7,2013,1,"h"
7,2013,35,"n"
6,2013,2,"h"
6,2013,3,"l"
6,2013,128,"n"
5,2013,11,"l"
5,2013,39,"n"
4,2013,12,"h"
4,2013,32,"l"
4,2013,674,"n"
3,2013,48,"h"
3,2013,53,"l"
3,2013,887,"n"
2,2013,9,"h"
2,2013,93,"l"
2,2013,855,"n"
1,2013,74,"h"
1,2013,170,"l"
1,2013,1731,"n"
52,2012,54,"h"
52,2012,135,"l"
52,2012,2303,"n"
51,2012,101,"h"
51,2012,112,"l"
51,2012,1444,"n"
50,2012,38,"h"
50,2012,150,"l"
50,2012,2139,"n"
49,2012,526,"h"
49,2012,683,"l"
49,2012,6309,"n"
48,2012,218,"h"
48,2012,1138,"l"
48,2012,6900,"n"
47,2012,253,"h"
47,2012,1157,"l"
47,2012,6243,"n"
46,2012,711,"h"
46,2012,1810,"l"
46,2012,9438,"n"
45,2012,657,"h"
45,2012,1939,"l"
45,2012,9256,"n"
44,2012,459,"h"
44,2012,1453,"l"
44,2012,6292,"n"
43,2012,619,"h"
43,2012,2375,"l"
43,2012,9376,"n"
42,2012,1871,"h"
42,2012,3279,"l"
42,2012,16572,"n"
41,2012,1463,"h"
41,2012,4741,"l"
41,2012,17389,"n"
40,2012,1113,"h"
40,2012,4108,"l"
40,2012,14451,"n"
39,2012,1418,"h"
39,2012,2597,"l"
39,2012,13062,"n"
38,2012,516,"h"
38,2012,2740,"l"
38,2012,10058,"n"
37,2012,613,"h"
37,2012,3485,"l"
37,2012,11594,"n"
36,2012,1068,"h"
36,2012,1856,"l"
36,2012,10464,"n"
35,2012,983,"h"
35,2012,2725,"l"
35,2012,12128,"n"
34,2012,615,"h"
34,2012,3017,"l"
34,2012,10619,"n"
33,2012,621,"h"
33,2012,1379,"l"
33,2012,8565,"n"
32,2012,540,"h"
32,2012,1501,"l"
32,2012,8755,"n"
31,2012,361,"h"
31,2012,1600,"l"
31,2012,8832,"n"
30,2012,300,"h"
30,2012,878,"l"
30,2012,6476,"n"
29,2012,320,"h"
29,2012,471,"l"
29,2012,4558,"n"
28,2012,313,"h"
28,2012,1215,"l"
28,2012,7338,"n"
27,2012,355,"h"
27,2012,841,"l"
27,2012,7409,"n"
26,2012,403,"h"
26,2012,297,"l"
26,2012,4726,"n"
25,2012,162,"h"
25,2012,386,"l"
25,2012,4865,"n"
24,2012,96,"h"
24,2012,198,"l"
24,2012,3621,"n"
23,2012,203,"h"
23,2012,390,"l"
23,2012,4188,"n"
22,2012,103,"h"
22,2012,127,"l"
22,2012,2889,"n"
21,2012,57,"h"
21,2012,158,"l"
21,2012,1972,"n"
20,2012,101,"h"
20,2012,214,"l"
20,2012,2706,"n"
19,2012,72,"h"
19,2012,315,"l"
19,2012,2692,"n"
18,2012,45,"h"
18,2012,378,"l"
18,2012,2069,"n"
17,2012,67,"h"
17,2012,155,"l"
17,2012,1232,"n"
16,2012,14,"h"
16,2012,5,"l"
16,2012,345,"n"
15,2012,5,"h"
15,2012,8,"l"
15,2012,273,"n"
14,2012,138,"n"
13,2012,3,"h"
13,2012,9,"l"
13,2012,193,"n"
12,2012,1,"h"
12,2012,3,"l"
12,2012,119,"n"
11,2012,2,"h"
11,2012,12,"l"
11,2012,190,"n"
10,2012,3,"h"
10,2012,42,"l"
10,2012,413,"n"
9,2012,1,"l"
9,2012,18,"n"
8,2012,2,"h"
8,2012,27,"l"
8,2012,179,"n"
7,2012,6,"h"
7,2012,4,"l"
7,2012,66,"n"
6,2012,1,"h"
6,2012,33,"l"
6,2012,159,"n"
5,2012,5,"h"
5,2012,51,"l"
5,2012,528,"n"
4,2012,8,"h"
4,2012,11,"l"
4,2012,209,"n"
3,2012,1,"l"
3,2012,60,"n"
1,2012,1,"h"
1,2012,12,"l"
1,2012,62,"n"
